geom,scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
"POINT (63.0279333519181 25.988794590011)","9",Airport,mid,Turbat Int'l,TUK,terminal,OPTU,TUK,http://en.wikipedia.org/wiki/Turbat_International_Airport,8.000,,Q2633549,مطار تربت الدولي,,,Turbat International Airport,Aeropuerto Internacional de Turbat,,,,,Bandar Udara Internasional Turbat,,トゥルバット,,,Port lotniczy Turbat,,Турбат,,,,土爾巴特國際機場,"4","1159114117"
"POINT (66.9487311480949 30.249043186181)","9",Airport,mid,Quetta Int'l,UET,terminal,OPQT,UET,http://en.wikipedia.org/wiki/Quetta_International_Airport,8.000,,Q31581,مطار كويته الدولي,,,Quetta International Airport,Aeropuerto Internacional de Quetta,aéroport international de Quetta,,,,Bandar Udara Internasional Quetta,aeroporto internazionale di Quetta,クエッタ国際空港,퀘타 국제공항,,Port lotniczy Kweta,,Кветта,,,Sân bay quốc tế Quetta,奎达国际机场,"4","1159114135"
"POINT (60.900708564915 29.4752941956573)","9",Airport,mid,Zahedan Int'l,ZAH,terminal,OIZH,ZAH,http://en.wikipedia.org/wiki/Zahedan_International_Airport,8.000,,Q559454,مطار زاهدان الدولي,,Flughafen Zahedan,Zahedan Airport,,Aéroport international de Zahedan,,,,Bandar Udara Zahedan,,ザーヘダーン空港,자헤단 공항,,Port lotniczy Zahedan,,,Zahedan International Airport,Zahedan Havalimanı,,扎黑丹機場,"4","1159114153"
"POINT (112.711418617258 -7.92998002840567)","9",Airport,mid and military,Abdul Rachman Saleh,MLG,ramp,WARA,MLG,http://en.wikipedia.org/wiki/Abdul_Rachman_Saleh_Airport,8.000,,Q1936851,,,,Abdul Rachman Saleh Airport,,aéroport Abdul Rachman Saleh,,,,Bandar Udara Abdul Rachman Saleh,,マラン,,,Port lotniczy Abdul Rachman Saleh,,,Abdul Rachman Saleh Airport,,Sân bay Abdul Rachman Saleh,,"4","1159114171"
"POINT (83.5504532124038 53.3633850813046)","9",Airport,mid,Barnaul,BAX,ramp,UNBB,BAX,http://en.wikipedia.org/wiki/Barnaul_Airport,8.000,,Q1858312,,,,Barnaul Airport,Aeropuerto Internacional de Barnaúl-Guermán Titov,aéroport de Barnaoul,,,,,Aeroporto di Barnaul,バルナウル空港,,Luchthaven Barnaoel,Port lotniczy Barnauł,,Барнаул,,,Sân bay Barnaul,巴爾瑙爾機場,"4","1159114187"
"POINT (75.7584828456005 31.4329422397715)","9",Airport,military mid,Adampur,VIAX,runway,VIAX,,,8.000,ok (military),Q20449639,,,,Adampur Air force base,,,,,,,,アダムプール空軍基地,,,,,,,,,,"5","1159114195"
"POINT (79.452002687657 28.4218087161144)","9",Airport,military,Bareilly,VIBY,runway,VIBY,,http://en.wikipedia.org/wiki/Bareilly_Airport,8.000,,Q2788745,,,,Bareilly Airport,,,,बरेली विमानक्षेत्र,,,,バレーリー空港,,,,,,,,,巴雷利機場,"4","1159114211"
"POINT (73.0320498392002 33.5614146278861)","9",Airport,small,Dhamial,OPQS,runway,OPQS,,http://en.wikipedia.org/wiki/Dhamial_Army_Airbase,8.000,,Q1655437,,,,Dhamial Army Airbase,,,,,,,,ダミアル陸軍飛行場,,,,,,,,,,"4","1159114231"
"POINT (127.495916124681 36.7220227766673)","9",Airport,major,Cheongju Int'l,CJJ,terminal,RKTU,CJJ,http://en.wikipedia.org/wiki/Cheongju_International_Airport,8.000,,Q483675,,,Flughafen Cheongju,Cheongju International Airport,Aeropuerto Internacional de Cheongju,aéroport de Cheongju,,,,Bandar Udara Internasional Cheongju,,清州国際空港,청주국제공항,,Port lotniczy Cheongju,Aeroporto Internacional de Cheongju,Чхонджу,Cheongju International Airport,,Sân bay Cheongju,清州國際機場,"4","1159114253"
"POINT (126.810839481226 35.1400051390198)","9",Airport,mid and military,Gwangju,KWJ,terminal,RKJJ,KWJ,http://en.wikipedia.org/wiki/Gwangju_Airport,8.000,,Q485662,,,,Gwangju Airport,Aeropuerto de Gwangju,aéroport de Gwangju,,,,Bandar Udara Gwangju,,光州空港,광주공항,,Port lotniczy Kwangju,Aeroporto de Gwangju,,,,Sân bay Gwangju,光州機場,"4","1159114271"
"POINT (128.637537699933 35.8999277969087)","9",Airport,mid,Daegu Int'l,TAE,terminal,RKTN,TAE,http://en.wikipedia.org/wiki/Daegu_Airport,8.000,,Q483254,,,Flughafen Daegu,Daegu International Airport,Aeropuerto Internacional de Daegu,aéroport international de Daegu,,,,Bandar Udara Internasional Daegu,,大邱国際空港,대구국제공항,,Port lotniczy Taegu,Aeroporto Internacional de Daegu,Тэгу,Daegu International Airport,,Sân bay Daegu,大邱國際機場,"4","1159114289"
"POINT (129.355731047528 35.5928957527107)","9",Airport,mid,Ulsan,USN,terminal,RKPU,USN,http://en.wikipedia.org/wiki/Ulsan_Airport,8.000,,Q484730,,,,Ulsan Airport,Aeropuerto de Ulsan,aéroport d'Ulsan,,,,Bandar Udara Ulsan,,蔚山空港,울산공항,,Port lotniczy Ulsan,Aeroporto de Ulsan,,Ulsan Airport,,Sân bay Ulsan,蔚山機場,"4","1159114319"
"POINT (105.176060419161 -5.242566777132)","9",Airport,mid,Radin Inten II,WIIT,terminal,WIAT,TKG,http://en.wikipedia.org/wiki/Radin_Inten_II_Airport,8.000,,Q2199514,,,,Radin Inten II Airport,,aéroport Radin Inten II,,,,Bandar Udara Radin Inten II,,ラディン・インテン2世空港,,Luchthaven Radin Inten II,Port lotniczy Bandar Lampung-Radin Inten II,,,Radin Inten II Airport,,Sân bay Radin Inten II,雷丁·印甸二世機場,"4","1159114325"
"POINT (81.7317271462187 25.443522027821)","9",Airport,military,Allahabad,IXD,ramp,VIAL,IXD,http://en.wikipedia.org/wiki/Allahabad_Airport,8.000,,Q1931319,,,,Allahabad Airport,,,,इलाहाबाद विमानक्षेत्र,,,,イラーハーバード空港,,,Port lotniczy Allahabad,,,Allahabad Airport,,Sân bay Allahabad,,"4","1159114341"
"POINT (61.5122589740201 55.2977919496055)","9",Airport,mid,Chelyabinsk,CEK,terminal,USCC,CEK,http://en.wikipedia.org/wiki/Chelyabinsk_Airport,8.000,,Q1322423,,,Flughafen Tscheljabinsk,Chelyabinsk Airport,,aéroport de Tcheliabinsk,,,,,Aeroporto di Čeljabinsk,バランジノ空港,첼랴빈스크 공항,Tsjeljabinsk,Port lotniczy Czelabińsk,,Челябинск,,Çelyabinsk Havalimanı,Sân bay Chelyabinsk,車里雅賓斯克機場,"4","1159114359"
"POINT (120.209733318093 22.950667918347)","8",Airport,military mid,Tainan,TNN,ramp,RCNN,TNN,http://en.wikipedia.org/wiki/Tainan_Airport,10.000,,Q702035,مطار تاينان,,Flughafen Tainan,Tainan Airport,,aéroport de Tainan,,,,Bandar Udara Domestik Tainan,,台南空港,타이난 공항,,Port lotniczy Tainan,,,,,Sân bay Đài Nam,台南機場,"4","1159114373"
"POINT (120.630703547584 24.2666555567115)","8",Airport,military mid,Taichung,RMQ,ramp,RCMQ,RMQ,http://en.wikipedia.org/wiki/Taichung_Airport,10.000,,Q374558,مطار تايتشونغ,,,Taichung Airport,Aeropuerto de Taichung,aéroport de Taichung,,,,Bandar Udara Taichung,,台中空港,타이중 공항,,Port lotniczy Taizhong,,,,,Sân bay Đài Trung,臺中清泉崗機場,"4","1159114393"
"POINT (4.43384434962876 51.9491301899382)","8",Airport,mid,Rotterdam The Hague,RTM,terminal,EHRD,RTM,http://en.wikipedia.org/wiki/Rotterdam_The_Hague_Airport,10.000,,Q656807,مطار روتردام لاهاي,,Flughafen Rotterdam,Rotterdam The Hague Airport,Aeropuerto de Róterdam,aéroport de Rotterdam La Haye,,,,Bandar Udara Rotterdam,Aeroporto di Rotterdam,ロッテルダム空港,,Rotterdam The Hague Airport,Port lotniczy Rotterdam,Aeroporto de Roterdã-Haia,Роттердам-Гаага,Rotterdams flygplats,,Sân bay Rotterdam,鹿特丹海牙机场,"4","1159114411"
"POINT (39.2254496447973 51.8126171268344)","8",Airport,mid,Voronezh-Chertovitskoye,VOZ,terminal,UUOO,VOZ,http://en.wikipedia.org/wiki/Voronezh_International_Airport,10.000,,Q2444515,,,Flughafen Woronesch,Voronezh International Airport,Aeropuerto de Vorónezh-Chertovitskoye,,,,,,Aeroporto di Voronež-Čertovickoe,ヴォロネジ国際空港,,Tsjertovitskoe,Port lotniczy Woroneż,,Чертовицкое,,,Sân bay quốc tế Voronezh,沃羅涅日,"4","1159114431"
"POINT (-2.85862065784938 53.3363751054422)","8",Airport,major,Liverpool John Lennon,LPL,ramp,EGGP,LPL,http://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,10.000,,Q8727,مطار ليفربول,,Liverpool John Lennon Airport,Liverpool John Lennon Airport,Aeropuerto John Lennon de Liverpool,aéroport de Liverpool John Lennon,,,Liverpool-John Lennon repülőtér,Bandar Udara John Lennon Liverpool,Aeroporto di Liverpool-John Lennon,リバプール・ジョン・レノン空港,리버풀 존 레넌 공항,Liverpool John Lennon Airport,Port lotniczy Liverpool-John Lennon,Aeroporto John Lennon de Liverpool,Ливерпульский аэропорт имени Джона Леннона,Liverpool John Lennon Airport,,Sân bay John Lennon Liverpool,利物浦约翰·列侬机场,"4","1159114447"
"POINT (83.2235216387465 17.7279577384364)","8",Airport,mid,Vishakapatnam,VTZ,terminal,VEVZ,VTZ,http://en.wikipedia.org/wiki/Visakhapatnam_Airport,10.000,,Q2247541,,বিশাখাপত্তনম বিমানবন্দর,,Visakhapatnam Airport,Aeropuerto de Visakhapatnam,aéroport de Visakhapatnam,,विशाखापट्टनम विमानक्षेत्र,,Bandar Udara Visakhapatnam,,ヴィシャーカパトナム空港,,,Port lotniczy Visakhapatnam,,Вишакхапатнам,Visakhapatnam Airport,,Sân bay Visakhapatnam,維沙卡帕特南機場,"4","1159114465"
"POINT (119.545691342151 -5.05893689455779)","8",Airport,major,Sultan Hasanuddin Int'l,UPG,terminal,WAAA,UPG,http://en.wikipedia.org/wiki/Sultan_Hasanuddin_International_Airport,10.000,,Q1432006,,,Flughafen Makassar,Sultan Hasanuddin International Airport,,aéroport international de Makassar,,,,Bandar Udara Internasional Sultan Hasanuddin,,ハサヌディン国際空港,,,Port lotniczy Makasar-Sultan Hasanuddin,,,Sultan Hasanuddin International Airport,,Sân bay Hasanuddin,望加錫國際機場,"4","1159114481"
"POINT (-173.968093944159 -18.5860058550654)","8",Airport,mid,Vava'u Int'l,VAV,terminal,NFTV,VAV,http://en.wikipedia.org/wiki/Vava'u_International_Airport,10.000,,Q2980547,,,Flughafen Vavaʻu,Vava'u International Airport,Aeropuerto Internacional de Vava'u,aéroport de Vavaʻu,,,,Bandar Udara Internasional Vava'u,,ヴァヴァウ国際空港,,,Port lotniczy Vava'u,,Аэропорт Вавау,,,,瓦瓦烏,"4","1159114497"
"POINT (-1.71034578407216 55.037084860802)","8",Airport,major,Newcastle Int'l,NCL,terminal,EGNT,NCL,http://en.wikipedia.org/wiki/Newcastle_Airport,10.000,,Q8975,مطار نيوكاسل,,Newcastle Airport,Newcastle Airport,Aeropuerto de Newcastle upon Tyne,aéroport international de Newcastle,,,,Bandar Udara Newcastle,aeroporto di Newcastle upon Tyne,ニューカッスル国際空港,뉴캐슬 공항,Newcastle Airport,Port lotniczy Newcastle,Aeroporto de Newcastle,Ньюкасл,Newcastle International Airport,,Sân bay Newcastle,纽卡斯尔机场,"4","1159114519"
"POINT (-86.8514685020011 15.7451596659126)","8",Airport,mid,Goloson Int'l,LCE,terminal,MHLC,LCE,http://en.wikipedia.org/wiki/Golos%C3%B3n_International_Airport,10.000,,Q2231517,,,Internationaler Flughafen Golosón,Golosón International Airport,Aeropuerto Golosón,,,,,Bandar Udara Internasional Golosón,,ゴロソン国際空港,,,Port lotniczy Golosón,Aeroporto Internacional Golosón,,,,Sân bay quốc tế Golosón,Golosa國際機場,"4","1159114531"
"POINT (39.6991359560417 24.5442339605661)","8",Airport,major,Madinah Int'l,MED,terminal,OEMA,MED,http://en.wikipedia.org/wiki/Prince_Mohammad_Bin_Abdulaziz_Airport,10.000,,Q1205940,مطار الأمير محمد بن عبد العزيز الدولي,,Flughafen Medina,Prince Mohammad Bin Abdulaziz Airport,Aeropuerto Príncipe Mohammad Bin Abdulaziz,aéroport international Prince Mohammad Bin Abdulaziz,,,,Bandar Udara Internasional Prince Mohammad bin Abdul Aziz,Aeroporto Internazionale di Medina-Principe Muhammad bin Abd al-Aziz,プリンス・モハンマド・ビン・アブドゥルアズィーズ国際空港,프린스 모하메드 빈 압둘아지즈 국제공항,Prince Mohammad Bin Abdulaziz Airport,Port lotniczy Medyna,Aeroporto Internacional Príncipe Mohammad Bin Abdulaziz,,,,,穆罕默德·本·阿卜杜勒-阿齐兹亲王国际机场,"4","1159114549"
"POINT (-74.0287382984814 45.6832250979267)","8",Airport,mid,Mirabel Int'l,YMX,terminal,CYMX,YMX,http://en.wikipedia.org/wiki/Montr%C3%A9al-Mirabel_International_Airport,10.000,,Q794552,,,Aéroport international Montréal-Mirabel,Montréal–Mirabel International Airport,Aeropuerto Internacional Montreal-Mirabel,aéroport international Montréal-Mirabel,,मिराबेल हवाई अड्डा,,Bandar Udara Internasional Montréal-Mirabel,Aeroporto Internazionale di Montréal-Mirabel,モントリオール・ミラベル国際空港,몬트리올 미라벨 국제공항,Montréal-Mirabel International Airport,Port lotniczy Montreal-Mirabel,Aeroporto Internacional Montréal-Mirabel,Мирабель,Montréal–Mirabel International Airport,,Sân bay quốc tế Montréal-Mirabel,蒙特利尔－米拉贝勒国际机场,"4","1159114567"
"POINT (21.0974463986251 55.9713426235358)","8",Airport,mid,Palanga Int'l,PLQ,terminal,EYPA,PLQ,http://en.wikipedia.org/wiki/Palanga_International_Airport,10.000,,Q1332588,,,Flughafen Palanga,Palanga International Airport,Aeropuerto Internacional de Palanga,aéroport international de Palanga,,,Palangai nemzetközi repülőtér,,Aeroporto Internazionale di Palanga,パランガ国際空港,,Luchthaven Palanga,Port lotniczy Połąga,,Паланга,Palangas internationella flygplats,,Sân bay quốc tế Palanga,帕兰加国际机场,"4","1159114587"
"POINT (75.8010104192668 26.8211798100605)","8",Airport,mid,Jaipur Int'l,JAI,terminal,VIJP,JAI,http://en.wikipedia.org/wiki/Jaipur_International_Airport,10.000,,Q572387,,জয়পুর বিমানবন্দর,,Jaipur Airport,Aeropuerto de Jaipur,aéroport de Jaipur,,जयपुर अन्तर्राष्ट्रीय विमानक्षेत्र,,,,ジャイプル国際空港,,,Port lotniczy Jaipur,,Международный аэропорт Джайпур,Jaipur Airport,,Sân bay Jaipur,齋浦爾國際機場,"4","1159114607"
"POINT (86.1724662363776 22.8154145110242)","8",Airport,mid,Sonari,IXW,terminal,VEJS,IXW,http://en.wikipedia.org/wiki/Sonari_Airport,10.000,,Q7560814,,সোনারী বিমানবন্দর,,Sonari Airport,,,,सोनारी हवाई-अड्डा,,,,,,,,,,Jamshedpur,,,,"4","1159114623"
"POINT (29.54492 40.2555395007473)","8",Airport,mid,Yenisehir,YEI,ramp,LTBR,YEI,http://en.wikipedia.org/wiki/Yeni%C5%9Fehir_Airport,10.000,,Q250026,,,Flughafen Bursa-Yenişehir,Yenişehir Airport,,Aéroport de Yenişehir,,,,Bandar Udara Yenişehir,,ブルサ,,,Port lotniczy Yenişehir,,,,Bursa Yenişehir Havalimanı,Sân bay Yenişehir,,"4","1159114643"
"POINT (35.2969614268338 36.9852090641795)","8",Airport,major,Şakirpaşa,ADA,terminal,LTAF,ADA,http://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,10.000,,Q1430728,مطار أضنة ساكيرباسا,,Flughafen Adana,Adana Şakirpaşa Airport,Aeropuerto de Adana Şakirpaşa,aéroport international d'Adana-Sakirpasa,,,,Bandar Udara Adana,Aeroporto di Adana,アダナ・シャキリパシャ空港,,Luchthaven Adana Sakirpasa,Port lotniczy Adana,,,,Şakirpaşa Havalimanı,Sân bay Adana Şakirpaşa,阿達納,"4","1159114663"
"POINT (-152.485638515235 57.7485921070483)","8",Airport,mid,Kodiak,ADQ,ramp,PADQ,ADQ,http://en.wikipedia.org/wiki/Kodiak_Airport,10.000,,Q2667517,,,Kodiak Airport,Kodiak Airport,Aeropuerto de Kodiak,aéroport de Kodiak,,,,Bandar Udara Kodiak,,コディアック空港,,,Port lotniczy Kodiak,,Кадьяк,,,,科迪亞克機場,"4","1159114685"
"POINT (-101.705352772697 35.2184031919398)","8",Airport,major,Amarillo Int'l,AMA,terminal,KAMA,AMA,http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,10.000,,Q1570890,,,Rick Husband Amarillo International Airport,Rick Husband Amarillo International Airport,Aeropuerto Internacional Rick Husband de Amarillo,Rick Husband Amarillo International Airport,,अमारिलो हवाई अड्डा,,,,リック・ハズバンド・アマリロ国際空港,,Rick Husband Amarillo International Airport,,Aeroporto Internacional de Amarillo,,,,,里克·赫斯本德-阿馬里洛國際機場,"4","1159114695"
"POINT (133.902918 -23.801968)","8",Airport,mid,Alice Springs,ASP,terminal,YBAS,ASP,http://en.wikipedia.org/wiki/Alice_Springs_Airport,10.000,,Q17606,,,Flughafen Alice Springs,Alice Springs Airport,aeropuerto de Alice Springs,aéroport d'Alice Springs,,,,Bandar Udara Alice Springs,aeroporto di Alice Springs,アリス・スプリングス空港,앨리스 스프링스 공항,,Port lotniczy Alice Springs,,Алис-Спрингс,Alice Springs Airport,,,愛麗斯泉機場,"4","1159114713"
"POINT (74.8071559719824 31.7068220258888)","8",Airport,mid and military,Raja Sansi Int'l,ATQ,terminal,VIAR,ATQ,http://en.wikipedia.org/wiki/Raja_Sansi_International_Airport,10.000,,Q385356,,শ্রী গুরু রামদাস জী আন্তর্জাতিক বিমানবন্দর,Flughafen Amritsar,Sri Guru Ram Dass Jee International Airport,Aeropuerto Internacional Sri Guru Ram Dass Jee,aéroport international de Raja Sansi,,श्री गुरु रामदास जी अन्तर्राष्ट्रीय विमानक्षेत्र,,Bandar Udara Internasional Raja Sansi,,アムリトサル国際空港,,,Port lotniczy Amritsar,,Международный аэропорт имени Раджа Санси,Amritsar,,Sân bay quốc tế Raja Sansi,阿姆利則國際機場,"4","1159114737"
